"Año";"Periodo";"Parámetro";"Denuncias, datos acumulados"
"2016";"Trimestre 4";"Agresión sexual con penetración";"1.249"
"2016";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"294"
"2016";"Trimestre 4";"Hurtos";"711.507"
"2016";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"160.853"
"2016";"Trimestre 4";"Robos con violencia e intimidación";"62.952"
"2016";"Trimestre 4";"Secuestro";"94"
"2016";"Trimestre 4";"Sustracciones de vehículos";"43.335"
"2016";"Trimestre 4";"Total";"2.009.690"
"2016";"Trimestre 4";"Tráfico de drogas";"12.448"
"2017";"Trimestre 4";"Agresión sexual con penetración";"1.382"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"310"
"2017";"Trimestre 4";"Hurtos";"712.398"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"149.651"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"61.763"
"2017";"Trimestre 4";"Secuestro";"69"
"2017";"Trimestre 4";"Sustracciones de vehículos";"42.519"
"2017";"Trimestre 4";"Total";"2.045.787"
"2017";"Trimestre 4";"Tráfico de drogas";"12.958"
"2018";"Trimestre 4";"Agresión sexual con penetración";"1.700"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"289"
"2018";"Trimestre 4";"Hurtos";"706.072"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"150.872"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"60.295"
"2018";"Trimestre 4";"Secuestro";"81"
"2018";"Trimestre 4";"Sustracciones de vehículos";"35.897"
"2018";"Trimestre 4";"Total";"2.131.118"
"2018";"Trimestre 4";"Tráfico de drogas";"14.133"
"2019";"Trimestre 4";"Agresión sexual con penetración";"1.873"
"2019";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"331"
"2019";"Trimestre 4";"Hurtos";"700.453"
"2019";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"142.528"
"2019";"Trimestre 4";"Robos con violencia e intimidación";"65.874"
"2019";"Trimestre 4";"Secuestro";"89"
"2019";"Trimestre 4";"Sustracciones de vehículos";"35.105"
"2019";"Trimestre 4";"Total";"2.199.475"
"2019";"Trimestre 4";"Tráfico de drogas";"16.624"
"2020";"Trimestre 4";"Agresión sexual con penetración";"1.602"
"2020";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"299"
"2020";"Trimestre 4";"Hurtos";"421.248"
"2020";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"103.293"
"2020";"Trimestre 4";"Robos con violencia e intimidación";"45.472"
"2020";"Trimestre 4";"Secuestro";"79"
"2020";"Trimestre 4";"Sustracciones de vehículos";"26.008"
"2020";"Trimestre 4";"Total";"1.773.366"
"2020";"Trimestre 4";"Tráfico de drogas";"16.996"
